symbol,judgement,score,close,rsi14,adx14,atr_pct,vol_ratio,reasons
3436.T,HOLD,4,2154.0,70.77,17.91,5.34,1.83,+1 SMA5 > SMA25 / +1 終値 > SMA25 / +1 MACD強気 / +1 出来高増加 / -1 ATR%が高く値動きが荒い / +1 MACD強気 + 出来高増
NVDA,HOLD,4,188.63,61.35,19.11,2.86,0.94,+1 SMA5 > SMA25 / +1 終値 > SMA25 / +1 MACD強気 / +1 RSIが健全レンジ
6501.T,HOLD,3,4848.0,51.01,14.39,3.33,0.99,+1 SMA5 > SMA25 / +1 終値 > SMA25 / +1 MACD強気 / +1 RSIが健全レンジ / -1 ADXが弱くトレンド不明瞭
4042.T,HOLD,3,2378.0,47.37,19.91,2.67,0.67,+1 SMA5 > SMA25 / +1 終値 > SMA25 / +2 ゴールデンクロス / -1 出来高不足
7011.T,HOLD,1,4761.0,52.15,13.52,3.99,0.7,+1 SMA5 > SMA25 / +1 終値 > SMA25 / +1 RSIが健全レンジ / -1 ADXが弱くトレンド不明瞭 / -1 出来高不足
6758.T,HOLD,0,3251.0,43.32,12.79,3.02,0.95,+1 SMA5 > SMA25 / -1 ADXが弱くトレンド不明瞭
7203.T,HOLD,-1,3319.0,46.75,11.35,3.06,0.73,+1 MACD強気 / -1 ADXが弱くトレンド不明瞭 / -1 出来高不足
PLTR,SELL,1,128.06,34.13,20.92,6.2,2.48,+2 出来高大幅増加 / -1 ATR%が高く値動きが荒い
8058.T,SELL,0,5275.0,48.5,26.36,3.63,0.76,+1 ADX強気トレンド / -1 出来高不足
9107.T,SELL,0,2602.5,47.46,23.16,3.67,0.77,+1 ADX強気トレンド / -1 出来高不足
TSLA,SELL,-1,348.95,37.11,28.43,4.23,0.79,-1 出来高不足
